523 8988
FLIP 2 279
FLIP 1 39
OR 2 1
XOR 1 2
XOR 2 1
FLIP 2 114
OR 1 2
AND 1 2
AND 2 1
SET 2 460
FLIP 2 90
SET 1 302
SET 1 44
SET 2 321
XOR 1 2
FLIP 2 321
XOR 2 1
AND 2 1
OR 1 2
OR 2 1
AND 1 2
FLIP 1 112
XOR 1 2
AND 2 1
OR 1 2
AND 1 2
XOR 2 1
AND 1 2
OR 1 2
XOR 2 1
XOR 1 2
OR 1 2
XOR 2 1
AND 1 2
OR 1 2
OR 2 1
FLIP 1 22
AND 1 2
XOR 2 1
AND 1 2
AND 2 1
FLIP 2 48
OR 2 1
XOR 2 1
AND 2 1
AND 2 1
FLIP 2 412
SET 1 116
FLIP 1 272
SET 1 506
OR 2 1
XOR 1 2
SET 1 193
OR 2 1
FLIP 2 326
XOR 2 1
FLIP 2 354
OR 2 1
XOR 1 2
OR 2 1
AND 1 2
FLIP 1 132
XOR 1 2
XOR 2 1
FLIP 1 451
XOR 2 1
OR 1 2
OR 2 1
AND 2 1
XOR 1 2
SET 1 146
SET 2 106
FLIP 1 44
SET 2 397
FLIP 2 358
OR 2 1
FLIP 2 291
AND 1 2
FLIP 1 79
XOR 2 1
FLIP 1 405
SET 1 478
AND 1 2
OR 1 2
FLIP 1 454
AND 2 1
XOR 2 1
FLIP 2 440
XOR 2 1
XOR 2 1
XOR 2 1
OR 1 2
XOR 2 1
AND 2 1
XOR 1 2
SET 2 403
FLIP 2 38
AND 1 2
AND 2 1
XOR 1 2
AND 1 2
OR 1 2
SET 2 219
XOR 1 2
OR 1 2
AND 2 1
AND 1 2
FLIP 1 24
FLIP 2 419
SET 1 427
AND 2 1
SET 2 503
FLIP 1 230
FLIP 2 387
SET 1 365
AND 2 1
FLIP 1 489
AND 1 2
OR 2 1
FLIP 1 431
OR 2 1
SET 2 292
OR 2 1
AND 1 2
SET 1 35
XOR 2 1
SET 2 332
SET 2 431
XOR 1 2
OR 2 1
SET 2 339
OR 2 1
SET 2 30
AND 1 2
FLIP 1 127
SET 2 116
XOR 1 2
XOR 2 1
OR 2 1
OR 2 1
FLIP 2 155
FLIP 2 491
XOR 2 1
FLIP 2 264
XOR 2 1
XOR 1 2
AND 2 1
OR 1 2
XOR 2 1
OR 2 1
FLIP 2 488
AND 1 2
SET 2 66
SET 2 19
SET 1 506
OR 2 1
FLIP 2 292
AND 2 1
XOR 2 1
OR 2 1
OR 2 1
AND 1 2
FLIP 2 155
OR 1 2
FLIP 2 499
XOR 2 1
FLIP 1 173
OR 1 2
OR 1 2
AND 2 1
OR 1 2
OR 2 1
AND 2 1
XOR 1 2
SET 2 5
FLIP 1 402
AND 1 2
OR 1 2
AND 1 2
AND 2 1
XOR 2 1
SET 1 494
FLIP 2 300
FLIP 1 289
FLIP 1 181
AND 1 2
AND 2 1
OR 1 2
XOR 2 1
OR 1 2
SET 1 48
FLIP 2 209
SET 2 358
OR 2 1
AND 2 1
XOR 1 2
XOR 1 2
FLIP 2 490
SET 2 57
XOR 2 1
OR 2 1
SET 1 133
AND 1 2
FLIP 1 509
AND 1 2
OR 2 1
FLIP 2 356
AND 2 1
SET 1 106
XOR 1 2
FLIP 1 154
XOR 2 1
XOR 1 2
SET 2 190
SET 1 328
SET 2 96
SET 1 392
OR 2 1
AND 1 2
FLIP 2 362
SET 1 429
OR 1 2
FLIP 1 397
FLIP 2 504
FLIP 1 512
OR 1 2
FLIP 1 361
OR 1 2
XOR 1 2
OR 2 1
FLIP 1 157
OR 2 1
SET 1 151
AND 2 1
SET 1 61
SET 2 142
OR 2 1
XOR 1 2
SET 2 243
XOR 1 2
FLIP 1 149
FLIP 1 396
SET 1 150
FLIP 2 87
OR 2 1
FLIP 2 434
XOR 1 2
XOR 2 1
XOR 1 2
OR 2 1
AND 2 1
FLIP 1 386
SET 1 294
FLIP 2 157
AND 1 2
AND 1 2
XOR 1 2
FLIP 1 177
AND 2 1
SET 2 243
AND 1 2
XOR 1 2
XOR 2 1
XOR 1 2
AND 1 2
XOR 2 1
AND 2 1
SET 1 326
XOR 2 1
OR 1 2
AND 1 2
FLIP 2 496
OR 1 2
XOR 1 2
AND 2 1
FLIP 2 75
SET 1 218
FLIP 2 199
XOR 2 1
XOR 1 2
AND 2 1
XOR 2 1
FLIP 1 244
SET 1 399
AND 2 1
AND 1 2
OR 2 1
AND 2 1
SET 1 164
FLIP 1 19
AND 2 1
FLIP 1 495
OR 2 1
OR 2 1
AND 2 1
XOR 1 2
SET 2 521
XOR 2 1
FLIP 1 485
OR 2 1
SET 1 288
AND 1 2
OR 1 2
XOR 2 1
FLIP 2 71
SET 1 189
AND 2 1
FLIP 1 173
AND 2 1
OR 2 1
AND 2 1
XOR 2 1
XOR 2 1
SET 2 151
AND 1 2
OR 2 1
FLIP 2 263
OR 2 1
SET 2 420
FLIP 2 267
XOR 2 1
FLIP 2 4
XOR 1 2
SET 1 329
OR 2 1
XOR 1 2
FLIP 1 145
SET 1 188
XOR 2 1
SET 1 147
FLIP 2 189
FLIP 2 32
OR 2 1
AND 1 2
FLIP 2 166
XOR 1 2
SET 1 283
XOR 1 2
SET 2 112
XOR 1 2
AND 2 1
FLIP 1 517
XOR 1 2
AND 1 2
FLIP 2 103
AND 2 1
SET 2 155
FLIP 2 99
AND 2 1
AND 2 1
FLIP 1 434
OR 1 2
AND 1 2
AND 2 1
XOR 1 2
XOR 2 1
SET 1 58
FLIP 1 101
OR 1 2
XOR 2 1
FLIP 2 162
OR 1 2
SET 2 14
FLIP 2 496
AND 1 2
SET 1 206
AND 1 2
OR 2 1
SET 1 153
XOR 1 2
FLIP 1 287
SET 2 222
FLIP 1 501
AND 1 2
AND 2 1
OR 1 2
SET 2 103
FLIP 2 321
FLIP 1 64
XOR 2 1
XOR 2 1
SET 2 31
FLIP 1 77
SET 2 36
SET 2 173
AND 1 2
FLIP 2 471
XOR 2 1
SET 2 460
FLIP 2 395
AND 2 1
SET 1 57
SET 2 409
AND 1 2
OR 2 1
XOR 1 2
XOR 1 2
XOR 1 2
XOR 2 1
FLIP 1 245
AND 1 2
XOR 2 1
SET 2 13
AND 1 2
OR 1 2
AND 1 2
XOR 2 1
AND 2 1
AND 2 1
SET 2 440
OR 1 2
XOR 2 1
AND 2 1
XOR 1 2
XOR 2 1
FLIP 2 291
XOR 1 2
AND 2 1
XOR 1 2
OR 1 2
FLIP 1 221
SET 2 317
SET 2 111
SET 2 36
SET 1 10
XOR 2 1
OR 1 2
XOR 1 2
SET 2 376
SET 2 232
OR 1 2
FLIP 1 90
XOR 2 1
SET 1 394
OR 1 2
OR 1 2
XOR 1 2
OR 1 2
FLIP 2 4
OR 2 1
XOR 1 2
SET 2 14
OR 1 2
XOR 1 2
SET 2 258
OR 1 2
OR 2 1
OR 2 1
SET 2 436
AND 1 2
FLIP 2 331
OR 2 1
AND 1 2
OR 2 1
AND 1 2
FLIP 1 416
AND 2 1
OR 2 1
XOR 1 2
FLIP 2 517
SET 1 326
XOR 2 1
SET 2 229
AND 2 1
AND 1 2
SET 1 353
AND 2 1
XOR 2 1
XOR 2 1
AND 2 1
AND 2 1
FLIP 1 482
FLIP 1 81
FLIP 1 51
XOR 1 2
XOR 2 1
AND 2 1
XOR 1 2
OR 1 2
SET 2 481
SET 2 287
AND 1 2
OR 1 2
XOR 1 2
FLIP 2 513
OR 2 1
XOR 1 2
AND 2 1
XOR 2 1
FLIP 1 211
FLIP 2 491
SET 2 456
XOR 1 2
FLIP 2 7
XOR 2 1
XOR 2 1
XOR 2 1
SET 2 193
OR 1 2
XOR 1 2
OR 1 2
SET 2 109
SET 2 502
XOR 1 2
SET 1 168
OR 2 1
FLIP 1 253
OR 1 2
SET 1 370
XOR 2 1
OR 1 2
OR 2 1
AND 1 2
SET 2 285
XOR 1 2
AND 2 1
FLIP 1 121
FLIP 1 87
AND 2 1
FLIP 1 50
OR 1 2
FLIP 1 41
XOR 2 1
FLIP 1 453
AND 2 1
XOR 1 2
XOR 1 2
XOR 1 2
FLIP 2 184
OR 1 2
SET 2 470
OR 1 2
OR 1 2
AND 1 2
SET 2 30
SET 2 372
OR 1 2
FLIP 1 284
SET 2 19
XOR 1 2
FLIP 2 372
XOR 2 1
OR 2 1
XOR 1 2
AND 1 2
OR 1 2
XOR 1 2
AND 2 1
AND 1 2
AND 2 1
SET 2 249
FLIP 1 461
AND 1 2
SET 2 128
FLIP 2 298
SET 2 247
SET 1 23
OR 1 2
OR 2 1
AND 2 1
OR 2 1
AND 1 2
AND 1 2
XOR 1 2
XOR 2 1
OR 2 1
SET 1 410
SET 1 430
FLIP 1 162
OR 2 1
FLIP 1 183
XOR 1 2
XOR 2 1
FLIP 1 231
XOR 2 1
OR 2 1
SET 1 6
SET 1 139
SET 2 46
FLIP 1 179
FLIP 1 284
OR 1 2
FLIP 2 393
XOR 2 1
AND 1 2
OR 1 2
XOR 1 2
AND 1 2
AND 2 1
AND 2 1
XOR 2 1
SET 1 474
XOR 1 2
FLIP 2 165
OR 2 1
SET 1 23
OR 2 1
SET 1 424
XOR 1 2
AND 2 1
FLIP 2 310
SET 1 465
SET 1 183
AND 1 2
OR 2 1
FLIP 2 132
XOR 1 2
AND 2 1
AND 2 1
XOR 2 1
FLIP 2 124
SET 1 282
AND 1 2
AND 2 1
FLIP 1 23
SET 2 9
SET 2 283
AND 1 2
OR 1 2
OR 2 1
SET 1 247
SET 2 441
AND 2 1
FLIP 1 223
SET 2 267
AND 1 2
FLIP 2 129
OR 2 1
XOR 2 1
SET 2 38
OR 1 2
OR 2 1
SET 2 116
AND 1 2
FLIP 1 80
FLIP 1 144
OR 2 1
XOR 2 1
SET 1 239
SET 1 522
XOR 2 1
XOR 1 2
XOR 2 1
AND 2 1
OR 1 2
SET 2 147
FLIP 1 454
XOR 1 2
SET 2 303
SET 1 187
SET 2 24
OR 1 2
OR 1 2
FLIP 2 29
OR 2 1
XOR 1 2
AND 1 2
OR 2 1
OR 1 2
SET 1 405
FLIP 2 137
SET 2 378
XOR 2 1
XOR 1 2
SET 1 377
FLIP 1 49
AND 1 2
XOR 2 1
SET 2 273
XOR 2 1
SET 1 482
AND 1 2
FLIP 2 507
SET 1 453
FLIP 2 162
FLIP 1 459
AND 1 2
OR 2 1
XOR 1 2
FLIP 2 134
AND 1 2
AND 2 1
FLIP 1 432
SET 2 512
AND 1 2
FLIP 1 398
SET 1 14
AND 2 1
OR 1 2
FLIP 2 67
SET 1 317
SET 1 169
FLIP 1 342
FLIP 2 95
XOR 1 2
XOR 1 2
SET 1 317
OR 1 2
OR 2 1
FLIP 1 197
XOR 1 2
SET 1 261
XOR 2 1
SET 1 77
SET 2 479
OR 2 1
AND 1 2
XOR 2 1
SET 2 476
XOR 2 1
AND 1 2
XOR 2 1
XOR 2 1
XOR 2 1
FLIP 2 171
XOR 2 1
SET 1 95
XOR 2 1
SET 2 245
XOR 1 2
SET 1 179
OR 1 2
FLIP 2 56
FLIP 2 422
SET 1 245
OR 2 1
FLIP 2 456
SET 2 51
SET 1 276
SET 2 7
AND 2 1
FLIP 1 134
OR 2 1
AND 2 1
FLIP 2 500
XOR 2 1
SET 1 395
XOR 1 2
AND 1 2
SET 1 502
XOR 1 2
OR 1 2
OR 1 2
XOR 1 2
AND 1 2
AND 2 1
SET 1 366
AND 2 1
OR 2 1
AND 2 1
SET 1 501
AND 1 2
SET 1 120
XOR 1 2
SET 1 246
AND 1 2
XOR 1 2
FLIP 2 310
AND 1 2
SET 2 262
FLIP 2 513
FLIP 1 236
SET 1 134
FLIP 2 161
OR 2 1
SET 1 482
XOR 1 2
SET 1 83
OR 1 2
FLIP 1 432
AND 2 1
OR 2 1
XOR 2 1
FLIP 1 254
SET 2 391
OR 2 1
XOR 2 1
FLIP 2 348
AND 2 1
FLIP 1 296
OR 2 1
XOR 2 1
XOR 1 2
AND 2 1
SET 2 203
XOR 2 1
OR 2 1
XOR 2 1
FLIP 1 136
XOR 2 1
SET 2 518
AND 1 2
SET 1 195
FLIP 1 98
SET 2 410
SET 1 422
SET 1 353
OR 1 2
FLIP 2 333
OR 2 1
FLIP 1 298
AND 2 1
AND 2 1
XOR 1 2
OR 1 2
OR 2 1
OR 1 2
FLIP 1 404
OR 1 2
OR 2 1
XOR 2 1
FLIP 2 365
FLIP 1 74
AND 2 1
FLIP 1 20
SET 1 179
FLIP 1 381
AND 1 2
OR 1 2
SET 2 325
XOR 1 2
XOR 2 1
AND 2 1
XOR 1 2
SET 2 186
XOR 1 2
XOR 2 1
FLIP 1 359
FLIP 1 366
OR 2 1
SET 1 235
XOR 2 1
AND 2 1
FLIP 1 82
XOR 1 2
OR 2 1
XOR 2 1
AND 2 1
OR 2 1
SET 1 313
FLIP 1 138
XOR 1 2
AND 1 2
AND 2 1
OR 2 1
AND 2 1
SET 1 339
FLIP 2 421
SET 1 49
OR 2 1
OR 2 1
AND 2 1
SET 1 444
XOR 2 1
OR 1 2
OR 2 1
AND 2 1
FLIP 1 144
XOR 1 2
SET 1 364
XOR 2 1
SET 1 150
OR 1 2
XOR 1 2
SET 2 267
SET 1 522
AND 1 2
AND 1 2
XOR 2 1
XOR 2 1
XOR 2 1
FLIP 1 300
AND 1 2
AND 2 1
FLIP 2 343
AND 2 1
OR 2 1
SET 1 21
XOR 1 2
FLIP 1 335
XOR 2 1
AND 1 2
AND 1 2
OR 2 1
AND 2 1
OR 2 1
FLIP 1 438
FLIP 1 482
SET 1 329
SET 2 149
SET 2 192
FLIP 2 423
XOR 2 1
SET 2 229
OR 1 2
SET 2 317
XOR 2 1
FLIP 1 498
SET 2 458
SET 1 161
AND 1 2
XOR 2 1
AND 2 1
OR 2 1
AND 2 1
SET 2 281
XOR 1 2
FLIP 1 415
XOR 2 1
FLIP 1 292
OR 2 1
SET 2 408
XOR 1 2
FLIP 2 179
SET 1 70
XOR 2 1
FLIP 1 353
SET 2 441
OR 1 2
XOR 1 2
AND 1 2
XOR 2 1
SET 2 452
SET 1 296
OR 2 1
FLIP 2 448
FLIP 1 521
SET 1 477
FLIP 1 463
OR 1 2
FLIP 2 56
FLIP 2 499
FLIP 2 370
FLIP 2 212
FLIP 2 205
OR 2 1
OR 1 2
FLIP 2 348
OR 2 1
XOR 1 2
SET 1 82
XOR 1 2
FLIP 1 420
SET 1 488
OR 2 1
XOR 1 2
AND 2 1
XOR 2 1
SET 2 267
XOR 2 1
XOR 2 1
OR 1 2
AND 2 1
OR 2 1
OR 1 2
AND 2 1
FLIP 1 26
OR 1 2
SET 2 249
AND 2 1
OR 2 1
FLIP 1 477
AND 2 1
FLIP 1 492
FLIP 1 317
OR 2 1
OR 2 1
FLIP 2 86
OR 2 1
SET 2 220
AND 2 1
SET 1 333
OR 2 1
OR 1 2
AND 2 1
AND 1 2
XOR 1 2
OR 1 2
OR 1 2
FLIP 1 348
AND 2 1
OR 2 1
AND 1 2
AND 2 1
AND 2 1
XOR 1 2
OR 1 2
SET 1 10
SET 1 82
AND 1 2
SET 1 518
AND 1 2
XOR 2 1
XOR 2 1
XOR 1 2
FLIP 1 95
AND 2 1
OR 2 1
OR 1 2
SET 2 332
OR 1 2
FLIP 2 33
FLIP 1 247
AND 1 2
XOR 2 1
XOR 2 1
XOR 2 1
OR 1 2
SET 1 323
AND 1 2
XOR 2 1
SET 1 436
FLIP 1 50
SET 1 214
XOR 1 2
AND 2 1
AND 2 1
SET 1 304
SET 1 81
AND 2 1
OR 1 2
OR 2 1
SET 2 247
XOR 1 2
SET 1 439
SET 2 392
AND 1 2
SET 2 460
XOR 1 2
AND 1 2
SET 1 241
XOR 1 2
OR 2 1
AND 2 1
SET 1 498
OR 1 2
FLIP 1 429
AND 2 1
OR 2 1
SET 1 354
OR 2 1
SET 1 399
OR 1 2
XOR 1 2
SET 1 496
FLIP 2 294
OR 1 2
SET 1 123
FLIP 2 121
AND 2 1
SET 2 78
AND 1 2
FLIP 2 517
SET 1 432
FLIP 1 112
AND 2 1
FLIP 2 512
OR 2 1
OR 2 1
AND 1 2
FLIP 1 21
XOR 1 2
AND 2 1
AND 2 1
FLIP 1 398
AND 2 1
AND 1 2
XOR 1 2
OR 2 1
FLIP 1 318
FLIP 1 384
OR 1 2
SET 1 407
AND 2 1
SET 1 321
SET 2 184
AND 1 2
OR 1 2
AND 2 1
AND 2 1
XOR 2 1
OR 1 2
SET 1 148
SET 1 75
FLIP 2 60
FLIP 1 52
AND 2 1
OR 2 1
FLIP 2 118
AND 2 1
OR 1 2
AND 1 2
FLIP 2 200
OR 2 1
FLIP 1 344
XOR 1 2
SET 2 118
FLIP 2 232
OR 1 2
FLIP 1 242
OR 1 2
AND 1 2
OR 1 2
FLIP 1 158
AND 2 1
XOR 1 2
XOR 2 1
XOR 2 1
FLIP 1 500
AND 1 2
OR 1 2
OR 1 2
XOR 1 2
FLIP 2 314
AND 1 2
SET 2 19
FLIP 2 150
XOR 2 1
SET 2 457
FLIP 2 482
AND 1 2
XOR 2 1
AND 2 1
OR 1 2
AND 2 1
AND 1 2
XOR 1 2
OR 1 2
AND 2 1
AND 1 2
OR 2 1
XOR 1 2
SET 1 145
SET 1 38
OR 2 1
AND 1 2
FLIP 1 193
AND 2 1
OR 1 2
AND 2 1
SET 1 140
XOR 2 1
XOR 2 1
OR 1 2
XOR 1 2
FLIP 2 270
FLIP 2 466
FLIP 1 162
AND 1 2
XOR 2 1
FLIP 2 168
FLIP 2 516
XOR 2 1
SET 2 237
FLIP 2 523
SET 1 79
FLIP 1 208
OR 1 2
FLIP 2 266
FLIP 1 468
FLIP 1 50
FLIP 2 324
XOR 1 2
SET 1 352
XOR 1 2
XOR 1 2
SET 2 221
OR 2 1
OR 1 2
OR 1 2
XOR 2 1
OR 1 2
AND 1 2
OR 2 1
SET 1 356
SET 1 354
OR 1 2
AND 1 2
XOR 1 2
XOR 1 2
SET 2 94
SET 2 315
FLIP 2 179
XOR 1 2
SET 1 145
AND 2 1
FLIP 2 468
XOR 2 1
SET 2 454
FLIP 2 208
XOR 1 2
SET 2 443
OR 2 1
AND 2 1
AND 1 2
AND 1 2
AND 2 1
XOR 1 2
XOR 2 1
AND 1 2
FLIP 1 455
FLIP 2 235
XOR 1 2
OR 2 1
AND 2 1
FLIP 2 163
SET 2 156
OR 1 2
SET 1 447
XOR 1 2
FLIP 2 403
XOR 1 2
AND 1 2
AND 1 2
OR 1 2
FLIP 1 5
AND 2 1
XOR 1 2
SET 2 426
XOR 1 2
OR 2 1
XOR 1 2
FLIP 2 93
XOR 1 2
FLIP 2 507
FLIP 2 256
OR 1 2
FLIP 2 390
OR 1 2
XOR 2 1
FLIP 2 172
SET 2 139
FLIP 2 278
SET 1 337
OR 2 1
SET 1 34
OR 2 1
FLIP 1 110
AND 1 2
FLIP 1 247
OR 2 1
XOR 2 1
AND 2 1
XOR 2 1
AND 2 1
FLIP 1 77
XOR 1 2
OR 1 2
SET 1 154
OR 2 1
FLIP 1 258
AND 1 2
OR 2 1
FLIP 1 398
SET 1 192
FLIP 1 81
SET 1 463
SET 2 189
XOR 1 2
OR 1 2
FLIP 2 76
AND 1 2
SET 1 433
XOR 1 2
FLIP 1 58
AND 1 2
SET 1 521
FLIP 2 182
SET 2 397
XOR 2 1
FLIP 1 236
SET 2 65
SET 2 388
AND 1 2
AND 1 2
AND 2 1
XOR 1 2
SET 1 515
OR 2 1
AND 2 1
OR 2 1
AND 2 1
FLIP 2 368
AND 1 2
OR 1 2
AND 1 2
OR 1 2
SET 2 31
OR 1 2
SET 2 481
XOR 1 2
AND 2 1
FLIP 2 126
XOR 2 1
SET 2 404
XOR 2 1
SET 2 401
SET 2 1
XOR 1 2
XOR 1 2
AND 1 2
XOR 2 1
OR 2 1
XOR 1 2
SET 2 382
OR 2 1
AND 1 2
SET 1 69
AND 2 1
XOR 1 2
AND 1 2
XOR 1 2
FLIP 1 214
FLIP 2 266
XOR 2 1
AND 1 2
OR 1 2
OR 2 1
XOR 1 2
OR 1 2
XOR 2 1
SET 1 349
XOR 1 2
XOR 2 1
AND 1 2
SET 1 116
FLIP 1 468
XOR 2 1
FLIP 1 410
FLIP 2 490
AND 2 1
XOR 2 1
SET 1 493
SET 2 208
SET 1 133
XOR 2 1
AND 1 2
OR 2 1
FLIP 1 133
AND 1 2
SET 1 291
XOR 2 1
OR 2 1
FLIP 1 390
XOR 1 2
OR 2 1
OR 1 2
OR 2 1
XOR 2 1
XOR 2 1
FLIP 1 295
SET 2 403
AND 2 1
OR 2 1
XOR 2 1
AND 2 1
XOR 1 2
SET 2 175
OR 2 1
SET 2 412
SET 1 422
AND 2 1
FLIP 2 13
SET 1 115
FLIP 1 357
OR 2 1
OR 1 2
AND 2 1
OR 1 2
AND 2 1
FLIP 1 417
OR 2 1
OR 2 1
AND 1 2
XOR 2 1
AND 2 1
SET 1 497
FLIP 1 443
FLIP 1 150
XOR 2 1
XOR 1 2
AND 1 2
XOR 2 1
FLIP 2 523
FLIP 2 406
FLIP 2 363
XOR 1 2
SET 2 364
XOR 1 2
SET 2 312
FLIP 1 253
OR 2 1
AND 2 1
SET 2 223
FLIP 1 272
FLIP 2 303
OR 1 2
FLIP 1 94
XOR 1 2
FLIP 1 301
OR 2 1
FLIP 2 333
XOR 1 2
OR 1 2
OR 2 1
FLIP 2 285
AND 2 1
OR 1 2
AND 1 2
SET 2 399
OR 2 1
OR 2 1
SET 2 62
OR 2 1
OR 1 2
FLIP 2 290
XOR 1 2
SET 2 140
AND 2 1
FLIP 2 180
SET 1 218
OR 1 2
SET 1 281
FLIP 2 270
XOR 1 2
AND 1 2
SET 1 182
AND 2 1
FLIP 2 26
XOR 2 1
XOR 1 2
FLIP 1 294
SET 2 293
AND 1 2
SET 2 134
OR 2 1
AND 1 2
XOR 2 1
OR 1 2
FLIP 1 63
AND 2 1
XOR 1 2
OR 2 1
XOR 1 2
XOR 1 2
OR 1 2
XOR 1 2
FLIP 1 449
SET 2 67
OR 2 1
SET 2 160
SET 2 253
FLIP 2 274
XOR 2 1
AND 1 2
OR 1 2
XOR 1 2
XOR 1 2
SET 2 497
SET 1 24
XOR 1 2
XOR 2 1
AND 2 1
AND 2 1
XOR 1 2
XOR 1 2
OR 2 1
XOR 1 2
XOR 1 2
SET 1 481
FLIP 2 422
AND 2 1
SET 1 325
AND 2 1
AND 1 2
SET 2 55
OR 1 2
AND 2 1
FLIP 1 49
AND 2 1
OR 2 1
SET 1 320
FLIP 2 480
SET 1 142
XOR 1 2
AND 1 2
FLIP 1 400
SET 2 513
OR 1 2
AND 2 1
AND 1 2
FLIP 2 284
OR 2 1
FLIP 1 380
OR 1 2
SET 2 79
OR 2 1
FLIP 2 41
AND 1 2
XOR 1 2
FLIP 1 46
OR 1 2
SET 1 130
FLIP 1 220
SET 2 360
SET 2 384
XOR 2 1
FLIP 2 33
XOR 2 1
AND 1 2
OR 2 1
XOR 1 2
XOR 2 1
OR 1 2
SET 2 362
OR 1 2
XOR 2 1
SET 1 406
SET 2 451
XOR 2 1
XOR 2 1
XOR 2 1
OR 1 2
OR 1 2
FLIP 2 314
SET 2 257
OR 1 2
SET 1 5
SET 2 204
XOR 1 2
SET 1 413
XOR 1 2
FLIP 2 249
XOR 1 2
FLIP 2 421
SET 1 494
SET 1 227
XOR 1 2
XOR 1 2
SET 2 185
AND 1 2
FLIP 1 269
AND 1 2
FLIP 1 206
SET 1 422
AND 2 1
FLIP 2 162
SET 2 128
FLIP 1 239
FLIP 1 397
XOR 1 2
AND 2 1
SET 1 393
OR 1 2
OR 2 1
AND 2 1
OR 1 2
SET 1 393
SET 2 457
AND 2 1
XOR 2 1
OR 2 1
OR 1 2
XOR 2 1
XOR 1 2
SET 1 86
FLIP 1 33
OR 2 1
FLIP 1 291
XOR 1 2
XOR 2 1
OR 2 1
SET 2 424
FLIP 2 55
FLIP 2 158
FLIP 2 259
FLIP 1 420
AND 2 1
SET 1 455
SET 1 176
OR 1 2
SET 2 83
AND 1 2
XOR 1 2
SET 1 163
XOR 1 2
SET 2 457
AND 2 1
OR 2 1
OR 2 1
XOR 1 2
AND 2 1
AND 1 2
SET 1 162
SET 2 201
AND 1 2
OR 2 1
FLIP 1 178
AND 1 2
FLIP 1 385
FLIP 1 252
AND 2 1
FLIP 1 218
FLIP 1 164
XOR 1 2
AND 1 2
XOR 2 1
OR 1 2
OR 2 1
AND 2 1
OR 2 1
SET 2 326
AND 1 2
AND 2 1
OR 1 2
AND 1 2
FLIP 1 195
XOR 2 1
SET 1 349
XOR 2 1
SET 2 518
XOR 1 2
XOR 2 1
XOR 1 2
SET 1 18
FLIP 2 99
FLIP 2 13
SET 1 364
SET 2 280
AND 2 1
XOR 2 1
SET 2 374
SET 1 251
FLIP 1 411
XOR 2 1
FLIP 2 506
SET 2 504
AND 1 2
XOR 1 2
AND 1 2
FLIP 2 279
FLIP 1 371
OR 1 2
SET 1 102
OR 1 2
XOR 2 1
FLIP 1 180
OR 1 2
AND 2 1
AND 1 2
OR 2 1
OR 2 1
FLIP 2 136
AND 2 1
AND 1 2
AND 2 1
AND 2 1
FLIP 2 397
FLIP 2 37
FLIP 2 294
XOR 2 1
SET 1 429
AND 2 1
AND 1 2
SET 1 137
FLIP 1 388
AND 2 1
SET 1 139
FLIP 1 325
AND 1 2
FLIP 2 203
XOR 2 1
AND 1 2
XOR 1 2
SET 2 116
OR 2 1
XOR 2 1
OR 2 1
AND 1 2
AND 1 2
FLIP 2 20
OR 1 2
AND 1 2
OR 1 2
FLIP 2 134
OR 2 1
AND 1 2
SET 2 46
SET 1 273
XOR 1 2
OR 2 1
FLIP 1 6
XOR 1 2
AND 2 1
FLIP 2 210
XOR 1 2
AND 2 1
FLIP 1 485
AND 1 2
OR 2 1
OR 2 1
AND 1 2
SET 2 497
SET 2 479
FLIP 2 488
OR 1 2
AND 1 2
OR 1 2
OR 1 2
OR 1 2
OR 1 2
OR 2 1
XOR 1 2
SET 1 31
AND 1 2
FLIP 1 378
OR 2 1
FLIP 1 171
XOR 1 2
SET 1 463
XOR 2 1
OR 1 2
FLIP 2 60
FLIP 1 457
AND 2 1
AND 2 1
OR 2 1
FLIP 2 490
FLIP 1 212
SET 1 479
XOR 2 1
OR 2 1
OR 1 2
OR 1 2
SET 1 450
OR 2 1
XOR 2 1
FLIP 1 465
SET 2 417
FLIP 2 208
AND 1 2
XOR 2 1
XOR 1 2
FLIP 1 449
OR 2 1
XOR 2 1
XOR 2 1
FLIP 1 357
OR 2 1
AND 2 1
AND 1 2
AND 2 1
OR 1 2
OR 1 2
FLIP 1 465
SET 1 393
SET 1 467
SET 1 310
OR 1 2
XOR 2 1
OR 1 2
AND 2 1
OR 1 2
SET 2 206
XOR 2 1
FLIP 1 350
SET 2 260
OR 2 1
FLIP 2 112
SET 1 448
OR 2 1
XOR 2 1
SET 1 91
FLIP 2 375
OR 1 2
XOR 2 1
XOR 2 1
OR 1 2
OR 1 2
XOR 2 1
SET 1 185
OR 1 2
AND 1 2
XOR 1 2
OR 2 1
SET 2 6
AND 1 2
OR 1 2
SET 2 457
OR 1 2
FLIP 1 126
SET 2 338
SET 2 40
FLIP 2 350
FLIP 2 361
FLIP 2 200
SET 1 183
AND 1 2
OR 2 1
SET 2 417
FLIP 1 268
SET 2 191
XOR 2 1
OR 2 1
OR 1 2
AND 1 2
FLIP 1 42
XOR 1 2
AND 2 1
SET 2 486
OR 2 1
FLIP 2 522
FLIP 2 230
SET 2 501
SET 2 325
OR 1 2
SET 2 305
FLIP 2 241
AND 2 1
AND 2 1
AND 2 1
SET 1 440
FLIP 1 49
AND 2 1
OR 1 2
XOR 2 1
OR 2 1
XOR 1 2
XOR 1 2
AND 1 2
AND 1 2
XOR 1 2
OR 1 2
AND 2 1
XOR 1 2
OR 1 2
AND 1 2
FLIP 1 247
AND 1 2
